episode,epsilon,total_reward,steps,success,crate_goal_distance,visited_states
216,0.1538,15.2147,14,True,0.4071,133
217,0.1524,15.0373,14,True,0.4145,133
218,0.1511,15.2221,9,True,0.4075,133
219,0.1497,15.9583,14,True,0.3821,133
220,0.1483,15.7756,13,True,0.3885,133
221,0.147,13.5012,8,True,0.4731,133
222,0.1456,-2.2009,80,False,0.6801,134
223,0.1442,13.8777,19,True,0.4545,134
224,0.1428,15.4067,27,True,0.3981,134
225,0.1415,15.0292,15,True,0.4168,134
226,0.1401,2.1927,80,False,0.5416,137
227,0.1387,15.5919,14,True,0.3937,137
228,0.1374,13.995,7,True,0.4535,137
229,0.136,15.0907,27,True,0.4152,137
230,0.1346,14.5712,18,True,0.4239,137
231,0.1332,15.0221,10,True,0.4158,137
232,0.1319,16.0241,18,True,0.3803,137
233,0.1305,15.1754,22,True,0.4043,137
234,0.1291,15.7562,9,True,0.387,137
235,0.1278,15.0192,8,True,0.4147,137
236,0.1264,14.9363,9,True,0.4185,137
237,0.125,14.147,8,True,0.4483,137
238,0.1236,16.0319,21,True,0.3787,137
239,0.1223,14.9328,13,True,0.4164,137
240,0.1209,14.1944,26,True,0.4568,137
241,0.1195,14.4311,9,True,0.4364,137
242,0.1182,13.8864,16,True,0.4557,137
243,0.1168,13.2363,14,True,0.4868,138
244,0.1154,15.0092,7,True,0.4145,138
245,0.114,14.4043,7,True,0.4378,138
246,0.1127,15.7433,13,True,0.3867,138
247,0.1113,15.4284,32,True,0.3902,138
248,0.1099,15.0436,22,True,0.4108,138
249,0.1086,-5.7921,80,False,0.8675,140
250,0.1072,15.5519,14,True,0.3962,140
251,0.1058,13.6421,11,True,0.4694,140
252,0.1044,15.6424,14,True,0.3942,140
253,0.1031,14.9009,15,True,0.4154,140
254,0.1017,14.0426,17,True,0.4487,140
255,0.1003,15.2243,18,True,0.4064,140
256,0.099,15.7706,11,True,0.3876,140
257,0.0976,13.607,24,True,0.4606,140
258,0.0962,15.7499,14,True,0.3889,140
259,0.0948,14.5758,9,True,0.4324,140
260,0.0935,16.114,23,True,0.3781,140
261,0.0921,14.9642,9,True,0.4174,140
262,0.0907,15.8316,16,True,0.3865,140
263,0.0894,15.2318,23,True,0.4105,140
264,0.088,15.0808,29,True,0.408,140
265,0.0866,15.976,19,True,0.3759,140
266,0.0853,15.5341,21,True,0.3985,140
267,0.0839,13.9837,14,True,0.4496,140
268,0.0825,15.9838,25,True,0.382,140
269,0.0811,14.7042,8,True,0.4268,140
270,0.0798,15.3326,22,True,0.4051,140
271,0.0784,14.8949,13,True,0.4204,140
272,0.077,15.75,9,True,0.3872,140
273,0.0757,14.5642,10,True,0.432,140
274,0.0743,-2.2071,80,False,0.6801,141
275,0.0729,13.6587,14,True,0.4659,141
276,0.0715,15.193,22,True,0.4008,141
277,0.0702,13.7614,22,True,0.4578,141
278,0.0688,15.8461,19,True,0.3877,141
279,0.0674,15.6549,15,True,0.3943,141
280,0.0661,13.6184,42,True,0.4673,141
281,0.0647,13.3503,27,True,0.4705,141
282,0.0633,14.911,10,True,0.42,141
283,0.0619,15.3946,34,True,0.3845,141
284,0.0606,15.0044,7,True,0.4147,141
285,0.0592,13.74,22,True,0.4573,141
286,0.0578,13.8823,25,True,0.4194,141
287,0.0565,15.4764,16,True,0.4011,141
288,0.0551,14.5001,14,True,0.4337,141
289,0.0537,13.4008,39,True,0.4567,141
290,0.0523,15.5052,19,True,0.3989,141
291,0.051,14.2484,16,True,0.4418,142
292,0.0496,15.4888,16,True,0.3973,142
293,0.0482,13.963,13,True,0.4582,142
294,0.0469,14.8867,12,True,0.416,142
295,0.0455,15.7444,23,True,0.3843,142
296,0.0441,15.532,16,True,0.3971,142
297,0.0427,15.4406,14,True,0.3981,142
298,0.0414,13.8954,10,True,0.4576,142
299,0.04,14.9842,18,True,0.4129,142
